     "gid","name","address","phone","longitude","latitude","source"
     2,"Human Services Agency and PeninsulaWorks Daly City","271 92nd St., Daly City","(650) 301-8400",-122.473859,37.690369,"HSA"
     3,"Human Services Agency","487 Huntington, So. San Francisco","(650) 877-5608",-122.422287,37.645447,"HSA"
     4,"Daly City Community Service Center","350 90th St, Daly City","(650) 991-8007",-122.47344,37.691139,"HSA"
     5,"Bayshore Family Resource Center","155 Oriente St. Rm. 11, Daly City","(650) 301-8828",-122.414535,37.706360,"HSA"
     6,"North Peninsula Neighborhood Service Center","600 Linden Ave., So. San Francisco","(650) 583-3373 or 588-8822",-122.409077,37.661560,"HSA"
     7,"Seton Medical Center","1900 Sullivan Ave., Daly City","(650) 992-4000",-122.465255,37.681054,"HSA"
     8,"Pacifica Resource Center","1809 Palmetto Avenue, Pacifica","(650) 738-7470",-122.491941,37.634695,"HSA"
     9,"Human Services Agency","400 Harbor Blvd., Bldg. B, Belmont","(650) 802-5018",-122.268517,37.520752,"HSA"
    10,"Human Services Agency and PeninsulaWorks San Carlos","550 Quarry Rd., San Carlos","(650) 802-6470",-122.268527,37.516312,"HSA"
    11,"Samaritan House","4031 Pacific Boulevard, San Mateo","(650) 347-3648",-122.289163,37.531263,"HSA"
    12,"Cabrillo Unified School District School Linked Services","498 Kelly Ave., Half Moon Bay","(650) 712-7182",-122.434468,37.464783,"HSA"
    13,"Coastside Hope","99 Ave. Alhambra, El Granada","(650) 726-9071",-122.480267,37.505920,"HSA"
    14,"Coastside Clinic Suite 200A","225 S. Cabrillo Hwy., Half Moon Bay","(650) 573-3949",-122.433756,37.466553,"HSA"
    15,"Human Services Agency and PeninsulaWorks Redwood City","2500 Middlefield Rd., Redwood City","(650) 599-3811",-122.214492,37.479431,"HSA"
    16,"Human Services Agency","2415 University Ave., East Palo Alto","(650) 363-4218",-122.139666,37.472082,"HSA"
    17,"Kennedy Family Center","2521 Goodwin Ave., Redwood City","(650) 569-3864",-122.240178,37.458771,"HSA"
    18,"PeninsulaWorks Menlo Park JobTrain","1200 O'Brien Dr., Menlo Park","(650) 330-6490",-122.146994,37.475582,"HSA"
    19,"Taft Family Resource Center","903 10th Ave., Redwood City","(650) 569-3868",-122.198863,37.480492,"HSA"
    20,"Fair Oaks Family Resource Center","2950 Fair Oaks Ave., Redwood City","(650) 482-5926",-122.205428,37.479848,"HSA"
    21,"Hoover School Family Resource Center","701 Charter St., Redwood City","(650) 482-5925",-122.205733,37.482776,"HSA"
    22,"Fair Oaks Community Center","2600 Middlefield Rd., Redwood City","(650) 780-7500",-122.212843,37.477654,"HSA"
    23,"Sequoia Teen Resource and Health Clinic","1201 Brewster Ave., Redwood City","(650) 369-1411 x6494",-122.238381, 37.485314,"HSA"
    24,"El Concilio&nbsp;Emergency Social Services","1798B Bay Rd., East Palo Alto","(650) 330-7432",-122.135332,37.471571,"HSA"
    25,"Ravenswood Family Health Center","1798 Bay Rd., Bldg. A, East Palo Alto","(650) 330-7400",-122.135332,37.471571,"HSA"
    26,"Puente De La Costa Sur","620 N. St., Pescadero","(650) 879-1691",-122.450896,37.658057,"HSA"
    27,"Belle Haven Community School","410 Ivy Dr., Menlo Park","(650) 329-6543",-122.159741,37.475862,"HSA"
    28,"Belle Haven Community Health Clinic","100 Terminal Ave., Menlo Park","(650) 321-0980",-122.168767,37.478376,"HSA"
    29,"Human Services Administrative Office","1 Davis Drive,Belmont, CA 94002","(650) 802-7500",-122.30726,37.511204,"HSA"
     "gid","name","address","phone","longitude","latitude","source"
     2,"Crossroads Church Pantry","990 South Capitol Ave San Jose 95127","For An Appointment Call:Food Connection 1-800-984-3663",-121.82792174787,37.351994912426,"Second Harvest Food Bank"
     3,"Alum Rock Library","3090 Alum Rock Ave San Jose, 95127","For An Appointment Call:Food Connection 1-800-984-3663",-121.82823264087,37.36555219879,"Second Harvest Food Bank"
     4,"Alviso Library","5050 North First St. San Jose, 95002","For An Appointment Call:Food Connection 1-800-984-3663",-121.97214594151,37.425042842561,"Second Harvest Food Bank"
     5,"Campbell Library","77 Harrison Avenue Campbell, 95008","For An Appointment Call:Food Connection 1-800-984-3663",-121.94278296611,37.287881085467,"Second Harvest Food Bank"
     6,"CET San Jose","701 Vine Street San Jose, 95110","For An Appointment Call:Food Connection 1-800-984-3663",-121.88678632901,37.322904174046,"Second Harvest Food Bank"
     7,"Daniel Lairon Produce Mobile","3975 Mira Loma Way San Jose, 95111","For An Appointment Call:Food Connection 1-800-984-3663",-121.82902356842,37.282752990368,"Second Harvest Food Bank"
     8,"Evergreen Library","2635 Aborn Road San Jose, 95148","For An Appointment Call:Food Connection 1-800-984-3663",-121.79596173795,37.313514979414,"Second Harvest Food Bank"
     9,"Gilroy Compassion Center","8425 Monterey Road, St. 10 Gilroy 95020","For An Appointment Call:Food Connection 1-800-984-3663",-121.56827152156,37.005787663336,"Second Harvest Food Bank"
    10,"Gloria Dei Pantry","121 South White Road San Jose, 95127","For An Appointment Call:Food Connection 1-800-984-3663",-121.82683156818,37.364335856828,"Second Harvest Food Bank"
    11,"Hillview Library","1600 Hopkins Drive San Jose, 95122","For An Appointment Call:Food Connection 1-800-984-3663",-121.83130479456,37.337791499184,"Second Harvest Food Bank"
    12,"InnVision, San Jose","297 Commercial Street San Jose, 95110","For An Appointment Call:Food Connection 1-800-984-3663",-121.90089654879,37.360788529026,"Second Harvest Food Bank"
    13,"Little Orchard Homeless Shelter","2011 Little Orchard Street San Jose, 95112","For An Appointment Call:Food Connection 1-800-984-3663",-121.87022758425,37.30360028494,"Second Harvest Food Bank"
    14,"Living & Loving Education Center","16980 Church Street, #16 Morgan Hill, 95037","For An Appointment Call:Food Connection 1-800-984-3663",-121.64827855255,37.125647847335,"Second Harvest Food Bank"
    15,"Loaves & Fishes- Maria Goretti Church","2980 Senter Road San Jose 95111","For An Appointment Call:Food Connection 1-800-984-3663",-121.83569030602,37.296153025125,"Second Harvest Food Bank"
    16,"MACSA, Gilroy","385 IOOF AVE # K1 Gilroy 95020","For An Appointment Call:Food Connection 1-800-984-3663",-121.56679615392,37.014755515171,"Second Harvest Food Bank"
    17,"Mexican Consulate","2125 Zanker Road San Jose, 95131","For An Appointment Call:Food Connection 1-800-984-3663",-121.91619859878,37.379504501451,"Second Harvest Food Bank"
    18,"Milpitas Food Pantry","1440 S. Main Street, Milpitas, 95035","For An Appointment Call:Food Connection 1-800-984-3663",-121.90214943885,37.409961800967,"Second Harvest Food Bank"
    19,"Morgan Hill Library","660 W. Main Ave Morgan Hill, 95037","For An Appointment Call:Food Connection 1-800-984-3663",-121.66293890349,37.124449836739,"Second Harvest Food Bank"
    20,"Most Holy Trinity Church","2040 Nassau Drive San Jose, 95122","For An Appointment Call:Food Connection 1-800-984-3663",-121.82714312932,37.330031201254,"Second Harvest Food Bank"
    21,"Mt. View Community Services Agency","204 Stierlin Road Mt. View, 94043","For An Appointment Call:Mt. View CSA 650-968-0836",-122.07831539489,37.396967367967,"Second Harvest Food Bank"
    22,"Operation Share","467 North White Road, San Jose San Jose, 95127","For An Appointment Call:Food Connection 1-800-984-3663",-121.83821459181,37.378251236756,"Second Harvest Food Bank"
    23,"Our Lady of Guadalupe","2020 E. San Antonio San Jose  95116","For An Appointment Call:Food Connection 1-800-984-3663",-121.84519297128,37.352729713351,"Second Harvest Food Bank"
    24,"Pacific Free Clinic","1835 Cunningham Ave San Jose 95122","For An Appointment Call:Food Connection 1-800-984-3663",-121.82921066392,37.331917966931,"Second Harvest Food Bank"
    25,"Reaching Out Pantry","2315 Canoas Garden Avenue San Jose 95125","For An Appointment Call:Food Connection 1-800-984-3663",-121.87470788895,37.292094506311,"Second Harvest Food Bank"
    26,"Salvation Army, San Jose","359 N. 4th Street San Jose, 95112","For An Appointment Call:Food Connection 1-800-984-3663",-121.89218680206,37.343227142159,"Second Harvest Food Bank"
    27,"Second Harvest Food Bank, Curtner Center","750 Curtner Ave San Jose, 95125","For An Appointment Call:Food Connection 1-800-984-3663",-121.87630652926,37.292505895038,"Second Harvest Food Bank"
    28,"Seventh Day Adventist Church","281 North 33rd Street San Jose, 95116","For An Appointment Call:Food Connection 1-800-984-3663",-121.86330304083,37.35536785803,"Second Harvest Food Bank"
    29,"St. Joseph's Family Center Produce Mobile","7950 Church Street Gilroy 95020","For An Appointment Call:Food Connection 1-800-984-3663",-121.5748892703,37.01491697527,"Second Harvest Food Bank"
    30,"St. Julie's Pantry","366 St. Julie Drive San Jose, 95119","For An Appointment Call:Food Connection 1-800-984-3663",-121.80313401218,37.227090957629,"Second Harvest Food Bank"
    31,"Sunnyvale Community Services","725 Kifer Road Sunnyvale, 94086","For An Appointment Call:Food Connection 1-800-984-3663",-122.01529685949,37.375983983641,"Second Harvest Food Bank"
    32,"True Vine Baptist Church","505 S. White Road San Jose 95127","For An Appointment Call:Food Connection 1-800-984-3663",-121.82344779092,37.360149943764,"Second Harvest Food Bank"
    33,"Tully Library","880 Tully Road San Jose, 95121","For An Appointment Call:Food Connection 1-800-984-3663",-121.84129109546,37.311897951192,"Second Harvest Food Bank"
    34,"Valley Medical Center","1993 McKee Road San Jose, 95133","For An Appointment Call:Food Connection 1-800-984-3663",-121.8520897387,37.364730791568,"Second Harvest Food Bank"
    35,"West Valley Community Services","10104 Vista Drive Cupertino, 95014","For An Appointment Call:West Valley Community Services 408-255-8065",-122.02758782752,37.323720101482,"Second Harvest Food Bank"
    36,"WIC Bascom","2406 Clove Dr. T-41, San Jose, 95128","For An Appointment Call:Food Connection 1-800-984-3663",-121.93462381254,37.312504992929,"Second Harvest Food Bank"
    37,"WIC Sunnyvale","660 S. Fairoaks Ave. Sunnyvale, 94086","For An Appointment Call:Food Connection 1-800-984-3663",-122.0234767677,37.364597274894,"Second Harvest Food Bank"
    38,"WIC Tully","500 Tully Road San Jose, 95111","For An Appointment Call:Food Connection 1-800-984-3663",-121.85061578405,37.305676817736,"Second Harvest Food Bank"
