"gid","Store_Name","Address","Address Li","City","State","Zip5","Zip4","County"
"31","Trader Joe's 174","1482 El Camino Real","","San Carlos","CA","94070","5102","SAN MATEO"
"671","RITE AID 5885","170 San Mateo Rd","","Half Moon Bay","CA","94019","1706","SAN MATEO"
"673","RITE AID 5890","1400 Linda Mar Blvd","","Pacifica","CA","94044","","SAN MATEO"
"674","RITE AID 5891","200 Fairmont Shopping Ctr","","Pacifica","CA","94044","1240","SAN MATEO"
"675","RITE AID 5892","340 Woodside Plz","","Redwood City","CA","94061","3259","SAN MATEO"
"676","RITE AID 5902","666 Concar Dr","","San Mateo","CA","94402","2622","SAN MATEO"
"677","RITE AID 5903","1320 W Hillsdale Blvd","","San Mateo","CA","94403","3125","SAN MATEO"
"684","RITE AID 5893","2150 Roosevelt Ave","","Redwood City","CA","94061","1304","SAN MATEO"
"1142","MIDDLE EAST MARKET","1776 El Camino Real","","San Bruno","CA","94066","5220","SAN MATEO"
"1159","Kukje Super Market","2350 Junipero Serra Blvd","","Daly City","CA","94015","1630","SAN MATEO"
"1263","SAFEWAY 0305","1071 El Camino Real","","Redwood City","CA","94063","1689","SAN MATEO"
"1329","Target Store T-0320","5001 Junipero Serra Blvd","","Colma","CA","94014","3217","SAN MATEO"
"1475","Trader Joe's 187","301 MC Lellan Dr","","South San Francisco","CA","94080","7513","SAN MATEO"
"1555","LOS PRIMOS MEAT MARKET 5","599 San Mateo Ave","","San Bruno","CA","94066","4324","SAN MATEO"
"1598","MIDTOWN MARKET","249 Visitacion Ave","","Brisbane","CA","94005","1562","SAN MATEO"
"1720","D & M LIQUOR & DELI","211 SPRUCE AVE","","South San Francisco","CA","94080","","SAN MATEO"
"1759","DOWNTOWN LIQUORS","301 E Grand Ave","","South San Francisco","CA","94080","6211","SAN MATEO"
"1843","AYAR PRODUCE MARKET 2","2727 El Camino Real","","Redwood City","CA","94061","3910","SAN MATEO"
"1953","DALY CITY MARKET","6775 Mission St","","Daly City","CA","94014","2041","SAN MATEO"
"2041","CHAVEZ SUPERMARKET","46 5th Ave","","Redwood City","CA","94063","3602","SAN MATEO"
"2113","PAPA MURPHY 80","330 Palmetto Ave","Ste 2B","Pacifica","CA","94044","1370","SAN MATEO"
"2424","PAL MARKET","2398 University Ave","","East Palo Alto","CA","94303","1617","SANTA CLARA"
"2530","Key Market 6","3640 Florence St","","Redwood City","CA","94063","4416","SAN MATEO"
"2689","LA MICHOACANA MARKET","1305 Willow Rd","","Menlo Park","CA","94025","1515","SAN MATEO"
"2728","BABY NUTRITIONAL CARE 4","2388 Junipero Serra Blvd","","Daly City","CA","94015","1647","SAN MATEO"
"2805","Daly City Market","333 87th St","","Daly City","CA","94015","1701","SAN MATEO"
"2807","Target Store T-1054","1150 El Camino Real","","San Bruno","CA","94066","2420","SAN MATEO"
"2809","Target Store T-1122","2220 Bridgepointe Pkwy","","San Mateo","CA","94404","1569","SAN MATEO"
"2987","Sams Food Market","899 San Mateo Ave","","San Bruno","CA","94066","3202","SAN MATEO"
"3216","Market La Raza","380 N Ellsworth Ave","","San Mateo","CA","94401","2402","SAN MATEO"
"3423","Pacific Supermarket","1015 El Camino Real","","South San Francisco","CA","94080","3206","SAN MATEO"
"3654","La Morenita Market","1519 S Claremont St","","San Mateo","CA","94402","2120","SAN MATEO"
"3738","Save More Meat Market","74 W Manor Dr","","Pacifica","CA","94044","1845","SAN MATEO"
"3844","New Daly City Market","398 Templeton Ave","","Daly City","CA","94014","1251","SAN MATEO"
"3951","Walgreens 07970","45 S El Camino Real","","Millbrae","CA","94030","3124","SAN MATEO"
"4214","Los Primos Meat Market Inc","3252 Middlefield Rd","","Menlo Park","CA","94025","1860","SAN MATEO"
"4384","Fiesta Latina","1424 Cary Ave","","San Mateo","CA","94401","3002","SAN MATEO"
"4602","New Leaf Community Markets Inc","150 San Mateo Rd","","Half Moon Bay","CA","94019","1706","SAN MATEO"
"4818","Country Time Market","2200 University Ave","","Palo Alto","CA","94303","1716","SANTA CLARA"
"4838","Andrea's Market","1601 El Camino Real","","Millbrae","CA","94030","1214","SAN MATEO"
"4928","Dollar Tree 3847","787 Hickey Blvd","","Pacifica","CA","94044","1214","SAN MATEO"
"5150","Dollar Tree 3275","555 El Camino Real","","South San Francisco","CA","94080","4402","SAN MATEO"
"5394","Airport Shell","899 Airport Blvd","","South San Francisco","CA","94080","1801","SAN MATEO"
"5794","CVS Pharmacy 9879","987 E Hillsdale Blvd","","Foster City","CA","94404","2112","SAN MATEO"
"5807","7-Eleven 25495D","3515 Callan Blvd","","South San Francisco","CA","94080","5118","SAN MATEO"
"5809","7-Eleven 14344E","3961 Callan Blvd","","South San Francisco","CA","94080","5130","SAN MATEO"
"5836","CVS Pharmacy 9811","1871 El Camino Real","","Burlingame","CA","94010","3220","SAN MATEO"
"5851","CVS Pharmacy 9329","1039 El Camino Real","","Redwood City","CA","94063","1690","SAN MATEO"
"5914","CVS Pharmacy 550","1324 San Carlos Ave","","San Carlos","CA","94070","2318","SAN MATEO"
"5924","7-Eleven 14337B","137 Manor Dr","","Pacifica","CA","94044","1953","SAN MATEO"
"5931","7-Eleven 14311C","635 El Camino Real","","South San Francisco","CA","94080","4404","SAN MATEO"
"5932","7-Eleven 14319A","11 Laurie Meadows Dr","","San Mateo","CA","94403","4610","SAN MATEO"
"5951","CVS Pharmacy 9172","11 El Camino Real","","San Carlos","CA","94070","2464","SAN MATEO"
"5963","7-Eleven 14316D","975 Rollins Rd","","Burlingame","CA","94010","2604","SAN MATEO"
"5965","7-Eleven 14331E","525 Oak Grove Ave","","Menlo Park","CA","94025","3214","SAN MATEO"
"6085","Redwood Mini Market","2775 El Camino Real","","Redwood City","CA","94061","3910","SAN MATEO"
"6104","CVS Pharmacy 9899","186 El Camino Real","","South San Francisco","CA","94080","5925","SAN MATEO"
"6136","Taqueria Y Carniceria Apatzingan #2","739 Chestnut St","","Redwood City","CA","94063","2405","SAN MATEO"
"6226","Vera  Cash Market","400 Vera Ave","","Redwood City","CA","94061","1705","SAN MATEO"
"6485","Neelam Pacific Market","492 San Mateo Ave","","San Bruno","CA","94066","4437","SAN MATEO"
