name,address,phone,location,Sunday opens at,Sunday closes at,Monday opens at,Monday closes at,Tuesday opens at,Tuesday closes at,Wednesday opens at,Wednesday closes at,Thursday opens at,Thursday closes at,Friday opens at,Friday closes at,Saturday opens at,Saturday closes at,Source
Atherton Library,"2 Dinkelspiel Station Lane, Atherton, CA 94027",650.328.2422,"-122.1967066,37.4633126",1:00 PM,5:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,5:00 PM,Library
Burlingame Main,"480 Primrose Road at Bellevue Avenue, Burlingame, CA 94010",650.558.7400,"-122.348862,37.5792209",1:00 PM,5:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,Library
"Burlingame, Easton Branch","1800 Easton Drive, Burlingame, CA 94010",650.340.6180,"-122.3714479,37.58384909999999",: ,: ,2:00 PM,8:00 PM,2:00 PM,8:00 PM,2:00 PM,8:00 PM,2:00 PM,8:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,Library
Belmont Library,"1110 Alameda de las Pulgas, Belmont, CA 94002",650.591.8286 ,"-122.2926159,37.5088658",1:00 PM,5:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,5:00 PM,Library
Bookmobile Library,"620 Correas, Half Moon Bay, CA 94019",650.726.2316,"-122.430875,37.4615401", , , , , , , , , , , , , , ,Library
Brisbane Library,"250 Visitacion Avenue, Brisbane, CA 94005",415.467.2060,"-122.4036187,37.68280439999999",: ,: ,12:00 PM,8:00 PM,12:00 PM,8:00 PM,12:00 PM,8:00 PM,12:00 PM,8:00 PM,12:00 PM,6:00 PM,12:00 PM,5:00 PM,Library
Cañada College Library,"4200 Farm Hill Boulevard, Redwood City, CA 94061",650.306.3267 ,"-122.2605591,37.447488",: ,: ,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,3:00 PM,8:00 AM,2:00 PM,Library
College of San Mateo Library,"1700 West Hillsdale Boulevard, San Mateo, CA 94402",650.574.6100,"-122.3351254,37.5350798",: ,: ,7:45 AM,7:00 PM,7:45 AM,7:00 PM,7:45 AM,7:00 PM,7:45 AM,7:00 PM,7:45 AM,3:00 PM,11:00 AM,2:00 PM,Library
"Daly City, Bayshore Branch","460 Martin Street, Daly City, CA 94014",650.991.8074,"-122.4192185,37.7019288",: ,: ,2:00 PM,8:00 PM,12:00 PM,6:00 PM,2:00 PM,8:00 PM,12:00 PM,6:00 PM,12:00 PM,6:00 PM,: ,: ,Library
"Daly City, John Daly Branch","134 Hillside Blvd, Daly City, CA 94014",650.991.8073,"-122.4623128,37.7026088",: ,: ,12:00 PM,6:00 PM,2:00 PM,8:00 PM,12:00 PM,6:00 PM,2:00 PM,8:00 PM,12:00 PM,6:00 PM,: ,: ,Library
"Daly City, Serramonte Main","40 Wembley Drive, Daly City, CA 94015",650.991.8023,"-122.4704212,37.6628945",: ,: ,1:00 PM,9:00 PM,10:00 AM,6:00 PM,1:00 PM,9:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,5:00 PM,Library
"Daly City, Westlake Branch","275 Southgate Avenue, Daly City, CA 94015",650.991.8071 ,"-122.4853508,37.696981",: ,: ,10:00 AM,6:00 PM,1:00 PM,9:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,1:00 PM,6:00 PM,10:00 AM,5:00 PM,Library
East Palo Alto Library,"2415 University Avenue, East Palo Alto, CA 94303",650.321.7712,"-122.140106,37.472276",: ,: ,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,6:00 PM,10:00 AM,5:00 PM,Library
Foster City Library,"1000 East Hillsdale Boulevard, Foster City, CA 94404",650.574.4842 ,"-122.270268,37.55878000000001",1:00 PM,5:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,5:00 PM,Library
Half Moon Bay Library,"620 Correas Street, Half Moon Bay, CA 94019",650.726.2316,"-122.430875,37.4615401",1:00 PM,5:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,1:00 PM,8:00 PM,10:00 AM,6:00 PM,10:00 AM,5:00 PM,Library
Menlo Park,"800 Alma Street, Menlo Park, CA 94025",650.330.2500,"-122.1795451,37.4532874",12:00 PM,5:00 PM,10:00 AM,9:00 PM,12:00 PM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,5:00 PM,Library
"Menlo Park, Belle Haven Branch","413 Ivy Drive, Menlo Park, CA 94025",650.330.2540 ,"-122.1609467,37.4759777",: ,: ,: ,: ,11:30 AM,7:00 PM,11:30 AM,7:00 PM,12:00 PM,6:00 PM,12:00 PM,6:00 PM,12:00 PM,5:00 PM,Library
Millbrae Library ,"1 Library Avenue, Millbrae, CA 94030",650.697.7607,"-122.3963694,37.6031482",1:00 PM,5:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,6:00 PM,9:00 AM,5:00 PM,Library
Pacifica - Sanchez Library,"1111 Terra Nova Boulevard, Pacifica, CA 94044",650.359.3397,"-122.4768706,37.58610669999999",: ,: ,12:00 PM,8:00 PM,12:00 PM,6:00 PM,12:00 PM,6:00 PM,: ,: ,12:00 PM,6:00 PM,10:00 AM,5:00 PM,Library
Pacifica - Sharp Park Library,"104 Hilton Way at Palmetto, Pacifica, CA 94044",650.355.5196,"-122.4922133,37.6321489",: ,: ,11:00 AM,8:00 PM,11:00 AM,8:00 PM,11:00 AM,8:00 PM,11:00 AM,6:00 PM,: ,: ,10:00 AM,5:00 PM,Library
Portola Valley Library,"765 Portola Road, Portola Valley, CA 94028 ",650.851.0560 ,"-122.2289941,37.3819448",: ,: ,11:00 AM,7:00 PM,11:00 AM,7:00 PM,11:00 AM,7:00 PM,11:00 AM,7:00 PM,11:00 AM,5:00 PM,11:00 AM,5:00 PM,Library
